Name,Gene_ID,GenomeBuild,Chr,Accession
cg00065385,10881,36,9,NM_006687.2
cg00065408,784,36,12,NM_000725.2
cg00066153,56,36,11,NM_020069.3
cg00066816,3593,36,5,NM_002187.2
cg00067471,513,36,19,NM_001687.4
cg00069261,1039,36,16,NM_001802.1
cg00071250,356,36,1,NM_000639.1
cg00071998,4439,36,6,NM_002441.2
cg00072216,10608,36,4,NM_006454.2
cg00073460,,,,
cg00073650,51693,36,16,NM_016209.1
cg00075967,64220,36,15,NM_022369.2
cg00076645,92181,36,5,NM_152277.1
cg00077457,284695,36,1,NM_181781.2
cg00077877,50807,36,8,NM_018482.2
cg00078194,4192,36,11,NM_001012334.1
cg00078867,7454,36,X,NM_000377.1
cg00079056,27290,36,9,NM_014471.1
cg00079563,26286,36,22,NM_014570.3
cg00080012,8726,36,11,NM_003797.2
cg00081935,10867,36,12,NM_006675.3
cg00081975,8714,36,17,NM_003786.2
cg00083720,11034,36,20,NM_006870.3
cg00083937,23542,36,22,NM_012324.2
cg00084687,57798,36,7,NM_021167.2
cg00089071,7703,36,17,NM_007144.2
cg00090147,2626,36,8,NT_077531.3
cg00091693,54474,36,17,NM_019010.1
cg00093177,342666,36,17,NM_198502.1
cg00093433,,,,
cg00094319,5042,36,13,NM_030979.2
cg00094851,3797,36,2,NM_002254.5
cg00095526,779,36,1,NM_000069.1
cg00095674,51177,36,1,NM_016274.3
cg00095688,,,,
cg00096922,1749,36,7,NM_005221.4
cg00097536,678,36,2,NM_006887.3
cg00098162,118932,36,10,NM_144590.1
cg00098239,10908,36,19,NM_006702.2
cg00099550,3185,36,10,NM_004966.2
cg00101227,4359,36,1,NM_000530.3
cg00103783,9526,36,17,NM_004870.1
cg00105253,256281,36,14,NM_177533.2
cg00105470,79169,36,1,NM_024319.2
cg00107187,388021,36,14,NM_207379.1
cg00107488,10587,36,22,NM_145747.1
cg00107632,55276,36,4,NM_018290.2
cg00108454,712,36,1,NM_015991.1
cg00109274,160851,36,13,NM_152910.3
cg00112517,84152,36,17,NM_032192.2
cg00113020,11006,36,19,NM_006847.2
cg00113951,9478,36,12,NM_031205.2
cg00115714,262,36,6,NM_001634.4
cg00116234,92949,36,9,NM_052866.2
cg00116838,147699,36,19,NM_178494.2
cg00117172,864,36,1,NT_004610.18
cg00119079,27074,36,3,NM_014398.2
cg00121158,23081,36,9,NM_015061.1
cg00121640,23245,36,9,NM_198188.1
cg00121904,4129,36,X,NM_000898.3
cg00123035,5993,36,1,NM_000449.3
cg00126034,7473,36,17,NM_030753.3
cg00126657,280657,36,X,NM_173357.2
cg00126698,695,36,X,NM_000061.1
cg00128197,3028,36,X,NM_004493.1
cg00128560,91151,36,16,NM_033208.2
cg00128654,55051,36,14,NM_199043.1
cg00128766,9813,36,1,NM_014774.1
cg00128877,8569,36,1,NM_003684.3
cg00129774,1017,36,12,NT_029419.11
cg00131121,5439,36,7,NM_006234.4
cg00131557,29103,36,13,NM_013238.2
cg00132141,29119,36,10,NM_013266.1
cg00133909,80381,36,15,NM_025240.2
cg00134539,53347,36,21,NM_018961.2
cg00134787,4619,36,17,NM_005963.2
cg00135056,56941,36,3,NM_020187.2
cg00135393,2266,36,4,NM_000509.4
cg00136105,79158,36,12,NM_024312.3
cg00136405,59067,36,4,NM_021803.1
cg00136477,714,36,1,NM_172369.2
cg00136736,8563,36,22,NM_003678.4
cg00138126,56937,36,20,NM_020182.3
cg00141162,3059,36,3,NM_005335.3
cg00141550,85417,36,X,NM_033031.1
cg00141845,139596,36,X,NM_145052.1
cg00143376,10316,36,2,NM_006056.2
cg00143998,128312,36,1,NM_175055.2
cg00145118,10007,36,5,NM_005471.3
cg00145348,27301,36,X,NM_014481.2
cg00146096,2188,36,11,NM_022725.2
cg00147638,,,,
cg00149659,55845,36,3,NM_018462.4
cg00149976,11343,36,3,NM_007283.5
cg00151234,5230,36,X,NM_000291.2
cg00151607,2588,36,16,NM_000512.3
cg00152644,6704,36,1,NM_001024209.1
cg00155167,157680,36,8,NM_181661.1
cg00155485,23389,36,12,NM_015335.2
cg00155609,7001,36,19,NM_005809.4
cg00156216,334,36,11,NM_001642.1
cg00156744,6793,36,5,NM_005990.2
cg00158308,27199,36,13,NM_080818.3
cg00160914,55924,36,1,NM_198926.1
cg00162401,2941,36,6,NM_001512.2
cg00162643,23586,36,9,NM_014314.2
cg00164041,51191,36,4,NM_016323.1
cg00164898,5600,36,22,NM_138993.2
cg00165981,10087,36,5,NM_031361.1
cg00167504,644,36,7,NM_000712.3
cg00168082,25,36,9,NM_007313.2
cg00168785,151525,36,2,NM_152528.1
cg00168942,219770,36,10,NM_153368.1
cg00169548,11177,36,14,NM_013448.2
cg00171126,7485,36,21,NM_004627.2
cg00171161,53343,36,4,NM_198038.1
cg00174500,116173,36,14,NM_138460.2
cg00174901,5064,36,19,NM_002579.1
cg00176210,286,36,8,NM_020475.2
cg00176879,5786,36,20,NM_002836.2
cg00177013,10139,36,20,NM_003224.2
cg00177698,55163,36,17,NM_018129.1
cg00177923,23484,36,8,NM_015344.1
cg00178790,125228,36,18,NM_152352.1
cg00179446,65109,36,X,NM_023010.2
cg00180012,246269,36,6,NM_145315.3
cg00180631,4534,36,X,NM_000252.1
cg00182461,53938,36,2,NM_032472.3
cg00183239,,,,
cg00183782,4205,36,15,NM_005587.1
cg00183916,9953,36,17,NM_006041.1
cg00184884,9814,36,22,NM_014775.2
cg00184893,59344,36,17,NM_021628.1
cg00185103,7596,36,19,NM_003425.2
cg00185839,55367,36,11,NM_018494.3
cg00186141,5420,36,7,NM_005397.2
cg00186701,85453,36,8,NM_033512.2
cg00186954,6764,36,11,NM_005418.3
cg00187380,3222,36,12,NM_018953.2
cg00187686,6947,36,11,NM_001062.2
cg00188348,8815,36,11,NM_003860.2
cg00191052,56548,36,X,NM_019886.2
cg00194146,54438,36,6,NM_018988.1
cg00195561,1132,36,11,NM_000741.2
cg00197381,51307,36,5,NM_016605.1
cg00197641,122704,36,14,NM_178336.1
cg00199549,4174,36,22,NM_006739.2
cg00200063,84669,36,17,NM_032582.3
cg00201234,2199,36,3,NM_001004019.1
cg00202702,85016,36,11,NM_032930.1
cg00202711,3358,36,X,NM_000868.1
cg00204262,1891,36,19,NM_001398.2
cg00206052,25911,36,10,NM_015448.1
cg00207534,9798,36,16,NM_014761.2
cg00208830,3918,36,1,NM_005562.1
cg00208967,93145,36,19,NM_058164.1
cg00209066,23774,36,22,NM_014577.1
cg00209951,163259,36,1,NM_198459.2
cg00210842,317,36,12,NT_019546.15
cg00211661,116985,36,11,NM_015242.2
cg00212549,54437,36,3,NM_018987.1
cg00213044,140446,36,12,NM_058242.1
cg00213331,64374,36,5,NM_022464.3
cg00213714,22954,36,9,NM_012210.2
cg00214346,5573,36,17,NM_002734.3
cg00214794,3872,36,17,NM_000422.1
cg00214855,63933,36,6,NM_022102.1
cg00215066,4650,36,19,NM_004145.2
cg00216361,2596,36,3,NM_002045.2
cg00216758,256329,36,11,NM_173573.1
cg00217795,1734,36,14,NM_000793.3
cg00221494,10160,36,13,NM_005766.2
cg00223186,84320,36,1,NM_032360.2
cg00223950,23352,36,1,NM_020765.1
cg00224234,55178,36,17,NM_018146.2
cg00224508,56882,36,1,NM_020239.2
cg00226904,5268,36,18,NT_025028.13
cg00226923,221472,36,6,NM_173558.2
cg00228799,2021,36,9,NM_004435.2
cg00229387,93643,36,6,NM_080604.1
cg00230271,93627,36,4,NM_033115.2
cg00230368,3482,36,6,NM_000876.1
cg00230502,160777,36,12,NM_178499.2
cg00230685,6322,36,X,NM_006746.3
cg00231140,10449,36,18,NM_006111.1
cg00231644,7280,36,6,NM_001069.2
cg00231920,64601,36,20,NM_022575.2
cg00233307,11184,36,19,NM_007181.3
cg00234616,3196,36,2,NM_001534.2
cg00234961,9889,36,22,NM_014838.1
cg00236832,5914,36,17,NM_001024809.2
cg00237010,4815,36,12,NM_016533.4
cg00238052,140597,36,X,NM_080390.3
cg00239071,283600,36,14,NM_207117.2
cg00239419,6198,36,17,NM_003161.2
cg00239685,64689,36,3,NM_031899.2
cg00240312,999,36,16,NM_004360.2
cg00240432,7291,36,7,NM_000474.3
cg00240880,8839,36,20,NM_003881.2
cg00241355,2597,36,12,NM_002046.2
cg00242839,84991,36,10,NM_032905.3
cg00243313,50805,36,5,NM_016358.1
cg00245878,51351,36,7,NM_015852.1
cg00247489,1380,36,1,NM_001877.3
cg00250430,10655,36,9,NM_006557.3
cg00253200,151963,36,3,NM_178496.2
cg00256074,29895,36,16,NM_013292.2
cg00256166,64410,36,15,NM_022480.2
cg00256281,5372,36,22,NM_002676.1
cg00259755,170394,36,10,NM_138499.2
cg00260778,221060,36,10,NM_153244.1
cg00261552,1389,36,12,NM_001310.2
cg00261781,4148,36,2,NM_002381.3
cg00262415,126789,36,1,NM_153339.1
cg00263723,4905,36,17,NM_006178.1
cg00263760,11023,36,10,NM_199131.1
cg00265415,148789,36,1,NM_152490.1
cg00265490,92140,36,8,NM_178812.2
cg00268009,128,36,4,NM_000671.3
cg00268338,143279,36,10,NM_173497.1
cg00269115,148898,36,1,NM_138479.2
cg00269932,3904,36,19,NM_002288.3
cg00273068,90187,36,20,NM_052846.1
cg00273124,55651,36,5,NM_017838.3
cg00274399,2254,36,13,NM_002010.1
cg00275232,162979,36,19,NM_145288.1
cg00276797,9748,36,10,NM_014720.2
cg00278366,144715,36,12,NM_152442.2
cg00279797,9949,36,X,NM_015365.2
cg00280814,150244,36,22,NM_152509.1
cg00280894,56001,36,X,NM_022053.1
cg00282347,26038,36,1,NM_015557.1
cg00282683,9690,36,7,NM_014671.1
cg00283535,312,36,8,NM_004306.2
cg00288562,29896,36,7,NM_013293.2
cg00290028,5994,36,13,NM_000538.2
cg00290506,149111,36,1,NM_152495.1
cg00291877,6627,36,15,NM_003090.2
cg00292662,3956,36,22,NM_002305.2
cg00292971,9715,36,7,NM_014690.2
cg00293409,375387,36,3,NM_198565.1
cg00294382,51561,36,12,NM_016584.2
cg00295206,7879,36,3,NM_004637.5
cg00295325,8647,36,2,NM_003742.2
cg00296685,2968,36,6,NM_001517.4
cg00297584,400077,36,12,NM_207436.1
cg00297600,137970,36,8,NM_080872.1
cg00298357,27190,36,5,NM_014443.2
cg00298951,1240,36,12,NM_004072.1
cg00301864,11021,36,12,NM_006861.4
cg00302793,5530,36,4,NM_000944.2
cg00303548,266722,36,13,XM_926275.1
cg00304278,11011,36,17,NM_006852.2
cg00307685,676,36,1,NM_001726.2
cg00308133,2593,36,19,NM_000156.4
cg00308665,3356,36,13,NM_000621.2
cg00309056,83930,36,7,NM_032016.2
cg00309204,254863,36,17,NM_152766.2
cg00311768,7264,36,8,NM_003313.2
cg00312919,83930,36,7,NM_032016.2
cg00314943,251,36,2,NM_031313.1
cg00315936,27044,36,7,NM_014390.2
cg00317680,51001,36,8,NM_015942.3
cg00318573,1137,36,20,NM_000744.2
cg00318865,91,36,12,NM_020327.2
cg00319692,245972,36,8,NM_152565.1
cg00319761,9088,36,16,NM_182687.1
cg00320243,5864,36,19,NM_002866.3
cg00321065,6018,36,1,NM_012421.1
cg00321478,23418,36,1,NM_012076.2
cg00323915,55303,36,7,NM_018326.2
cg00324733,4925,36,11,NM_005013.1
cg00325491,56935,36,11,NM_020179.1
cg00327185,1737,36,11,NM_001931.2
cg00327483,844,36,1,NM_001231.2
cg00328227,113802,36,1,NM_144584.1
cg00330518,,,,
cg00331237,1466,36,12,NM_001321.1
cg00331433,94056,36,X,NM_032796.2
cg00332153,55024,36,4,NM_017935.2
cg00332745,8996,36,16,NM_003946.3
cg00333226,375567,36,7,NM_198570.1
cg00333528,2569,36,6,NM_002042.2
cg00334274,,,,
cg00334507,9961,36,16,NM_017458.2
cg00335286,4158,36,18,NM_000529.2
cg00336605,7376,36,19,NM_007121.2
cg00338702,55743,36,12,NM_018223.1
cg00338893,51650,36,7,NM_016071.2
cg00340102,51614,36,20,NM_015966.2
cg00342530,84253,36,9,NM_032293.3
cg00343092,706,36,22,NM_000714.4
cg00344358,10220,36,12,NM_005811.2
cg00344372,3083,36,4,NM_001528.2
cg00344709,317754,36,21,NM_174981.2
cg00346145,6164,36,4,NM_000995.2
cg00347729,4319,36,11,NM_002425.1
cg00347904,222663,36,6,NM_152753.2
cg00350296,57124,36,11,NM_020404.2
cg00350478,79981,36,6,NM_024919.2
cg00350702,51614,36,20,NM_015966.2
cg00351011,79603,36,19,NM_024552.1
cg00353953,171017,36,12,NM_133476.2
cg00354258,23619,36,19,NT_011109.15
cg00354572,79611,36,12,NM_024560.2
cg00355656,,,,
cg00355802,1846,36,8,NM_057158.2
cg00359325,7375,36,3,NM_003363.2
cg00359973,158787,36,X,NM_144968.1
cg00363813,25900,36,12,NM_015438.1
cg00364344,1200,36,11,NM_000391.2
cg00364814,22864,36,12,NM_014925.2
cg00365193,4835,36,6,NM_000904.1
cg00367281,1142,36,8,NM_000749.2
cg00367438,83590,36,7,NM_031434.2
cg00368022,55322,36,5,NM_018356.1
cg00368415,81609,36,1,NM_030918.5
cg00371195,2147,36,11,NM_000506.2
cg00372249,,,,
cg00374717,22901,36,17,NM_014960.2
cg00375964,6059,36,4,NM_002940.1
cg00376639,51545,36,19,NM_016535.3
cg00380464,84946,36,6,NM_032860.3
cg00381076,162681,36,18,NM_173529.3
cg00382515,65080,36,2,NM_022915.2
cg00382991,388152,36,15,NM_203426.1
cg00384537,3886,36,17,NM_002280.3
cg00386408,7045,36,5,NM_000358.1
cg00387170,116113,36,6,NM_001012426.1
cg00392257,81875,36,1,NM_030980.1
cg00393585,152756,36,4,NM_153027.1
cg00394658,5795,36,11,NM_002843.2
cg00396163,284944,36,2,NM_173645.1
cg00396894,339779,36,2,NM_178553.2
cg00397545,341,36,19,NM_001645.3
cg00397740,5498,36,1,NM_000309.2
cg00398048,175,36,4,NM_000027.2
cg00399483,1630,36,18,NT_010966.13
cg00400028,92370,36,3,NM_152282.2
cg00400263,63939,36,20,NM_022106.1
cg00401678,84658,36,19,NM_032571.2
cg00402366,127255,36,1,NM_145258.1
cg00403724,64102,36,X,NM_022144.1
cg00404599,1831,36,X,NM_004089.3
cg00405070,10961,36,12,NM_006817.2
cg00405568,4836,36,17,NM_021079.3
cg00405677,9421,36,5,NM_004821.1
cg00406188,353140,36,1,NM_178429.2
cg00406844,10738,36,22,NM_006604.1
cg00407150,57467,36,3,NM_020707.2
cg00410419,170622,36,13,NM_203495.1
cg00410576,5597,36,15,NM_002748.2
cg00410831,7596,36,19,NM_003425.2
cg00410895,374969,36,1,NM_199342.1
cg00410898,6781,36,8,NM_003155.2
cg00410921,1159,36,15,NM_020990.3
cg00411097,202915,36,7,NM_152689.2
cg00412772,64073,36,19,NM_033520.1
cg00412805,131377,36,3,NM_152393.2
cg00413066,10017,36,15,NM_020396.2
cg00415164,60529,36,11,NT_009237.17
cg00415494,266740,36,X,NM_153488.3
cg00415978,171024,36,4,NM_133477.1
cg00415993,2151,36,5,NM_004101.2
cg00417297,285267,36,3,NM_173656.1
cg00418150,60529,36,11,NT_009237.17
cg00419564,6277,36,1,NM_014624.3
cg00420568,53358,36,9,NM_016848.2
cg00420715,157680,36,8,NM_181661.1
cg00420929,54858,36,19,NM_017712.1
cg00422913,84981,36,17,NM_032895.2
cg00424946,6645,36,16,NM_130845.1
cg00425710,4489,36,16,NM_005946.2
cg00425792,5193,36,17,NM_000286.1
cg00426056,51596,36,6,NM_001014433.2
cg00426498,399687,36,17,NM_078471.3
cg00426963,55582,36,9,NM_017576.1
cg00427635,161514,36,15,NM_153356.1
cg00429618,387328,36,9,NM_199005.1
cg00430287,2444,36,6,NM_002031.2
cg00430945,64130,36,19,NM_022165.2
cg00431050,83401,36,10,NM_152310.1
cg00431114,79183,36,20,NM_024331.2
cg00431549,4256,36,12,NM_000900.2
cg00432979,78988,36,13,NM_024026.4
cg00433406,127731,36,1,NM_144623.2
cg00434413,8260,36,X,NM_003491.2
cg00435408,89970,36,16,NM_133368.1
cg00436282,6779,36,4,NM_003154.2
cg00436301,221294,36,6,NM_152729.2
cg00436603,1571,36,10,NM_000773.3
cg00440980,,,,
cg00441136,9371,36,20,NM_004798.2
cg00441382,9399,36,15,NM_004809.3
cg00443307,10219,36,12,NM_005810.3
cg00445824,51477,36,19,NM_016368.3
cg00446235,50848,36,1,NM_016946.3
cg00447208,147138,36,17,NM_152468.3
cg00448720,338872,36,13,NM_178540.3
cg00449941,10615,36,17,NM_006461.3
cg00451635,2013,36,16,NM_001424.3
cg00453193,26136,36,7,NM_015641.2
cg00453258,255022,36,10,NM_001001412.1
cg00459975,79618,36,8,NM_024567.2
cg00461841,80063,36,16,NM_024997.2
cg00462311,4776,36,14,NM_004554.3
cg00462994,162417,36,17,NM_153006.2
cg00463202,113622,36,13,NM_199162.1
cg00463577,115004,36,6,NM_138441.1
cg00463840,,,,
cg00463848,3849,36,12,NM_000423.2
cg00464269,7126,36,17,NM_021137.3
cg00465284,347730,36,2,NM_178839.3
cg00465846,11236,36,8,NM_007218.3
cg00466249,124565,36,17,NM_138570.1
cg00466436,81623,36,20,NM_030931.2
cg00466492,404217,36,19,NM_206833.1
cg00466544,54916,36,14,NM_017799.2
cg00468146,3400,36,6,NM_001546.2
cg00469635,51400,36,11,NM_016147.1
cg00471562,22884,36,10,NM_014023.3
cg00472136,6866,36,12,NM_001006667.1
cg00472814,9510,36,21,NM_006988.3
cg00474004,3448,36,9,NM_002172.1
cg00474209,28514,36,6,NM_005618.2
cg00475955,51490,36,9,NM_016390.2
cg00476577,7764,36,20,NM_006526.2
cg00476580,81611,36,1,NM_030920.2
cg00479269,55571,36,2,NM_017546.3
cg00480115,5349,36,19,NM_021910.1
cg00480209,56985,36,17,NM_020233.3
cg00480356,25764,36,15,NM_016400.2
cg00481227,56259,36,20,NM_030877.3
cg00481951,,,,
cg00483154,51428,36,5,NM_016222.2
cg00485296,4832,36,16,NM_002513.2
cg00485380,11335,36,7,NM_016587.2
cg00486113,,,,
cg00487159,8651,36,16,NM_003745.1
cg00488300,25823,36,16,NM_012467.2
cg00488364,3598,36,X,NM_000640.2
cg00488718,256471,36,4,NM_152778.1
cg00489401,2324,36,5,NM_182925.1
cg00491404,79574,36,1,NM_024526.2
cg00491839,23645,36,19,NM_014330.2
cg00493400,6772,36,2,NM_007315.2
cg00495415,6667,36,12,NM_138473.2
cg00495442,57148,36,20,NM_020336.1
cg00495443,,,,
cg00495491,3709,36,12,NT_009714.16
cg00496170,51382,36,14,NM_015994.2
cg00497084,5475,36,X,NM_152223.1
cg00497251,57140,36,2,NM_018226.3
cg00498305,6571,36,10,NM_003054.2
cg00498604,7092,36,4,NM_012464.3
cg00499599,8888,36,21,NM_003906.3
cg00499822,6387,36,10,NM_199168.2
cg00500400,2033,36,22,NM_001429.2
cg00501366,242,36,17,NM_001139.1
cg00502442,79683,36,6,NM_024630.2
cg00503458,22889,36,1,NM_014949.2
cg00503840,1749,36,7,NT_007933.14
cg00504595,55504,36,13,NM_018647.2
cg00509616,145781,36,15,NM_001018090.1
cg00509670,5083,36,14,NM_006194.1
cg00510787,55005,36,6,NM_017909.1
cg00510956,10657,36,1,NM_006559.1
cg00511475,1013,36,16,NM_004933.2
cg00512031,54360,36,4,NM_018659.2
cg00512279,6571,36,10,NM_003054.2
cg00512374,3487,36,17,NM_001552.2
cg00513220,54996,36,1,NM_017898.3
cg00513467,55958,36,9,NM_018847.1
cg00514407,5270,36,2,NM_006216.2
cg00514895,8532,36,4,NM_003652.2
cg00515905,79574,36,1,NM_024526.2
cg00516481,5152,36,21,NM_002606.2
cg00518911,3206,36,7,NM_018951.2
cg00518989,3985,36,22,NM_005569.3
cg00519208,7813,36,1,NM_005665.4
cg00519627,79585,36,16,NM_024535.1
cg00520135,7168,36,15,NM_000366.5
cg00520708,134553,36,5,NM_152409.2
cg00521434,83873,36,1,NM_031936.3
cg00521598,26292,36,1,NM_012333.3
cg00522034,868,36,3,NM_170662.3
cg00522316,8570,36,19,NM_003685.1
cg00524288,7378,36,7,NM_003364.2
cg00528052,10765,36,1,NM_006618.3
cg00528967,8428,36,13,NM_003576.2
cg00532335,9211,36,10,NM_005097.1
cg00532890,5087,36,1,NM_002585.1
cg00534274,23657,36,4,NM_014331.2
cg00534856,1082,36,19,NM_000737.2
cg00536175,2623,36,X,NM_002049.2
cg00536472,,,,
cg00537910,10058,36,2,NM_005689.1
cg00539322,6295,36,2,NM_000541.2
cg00539716,3344,36,2,NM_002158.2
cg00539955,29780,36,22,NM_013327.3
cg00540544,1465,36,1,NM_004078.1
cg00540769,134526,36,5,NM_130767.1
cg00542846,351,36,21,NM_000484.2
cg00544557,259234,36,21,NM_148676.1
cg00545573,51347,36,12,NM_016281.2
cg00546491,5137,36,7,NM_005020.1
cg00546897,284837,36,21,NM_194310.1
cg00547018,56052,36,16,NM_019109.3
cg00547789,116442,36,X,NM_171998.2
cg00547829,51174,36,17,NM_016261.2
cg00548060,80896,36,1,NM_030769.1
cg00548268,4885,36,7,NM_002523.1
cg00550617,85280,36,17,NM_033191.2
cg00551244,157376,36,8,NM_182525.1
cg00554173,9762,36,20,NM_014731.2
cg00554250,10062,36,11,NM_005693.1
cg00554682,91752,36,2,NM_194250.1
cg00554702,1111,36,11,NM_001274.2
cg00556408,164656,36,22,NM_153609.2
cg00557354,8874,36,13,NM_003899.2
cg00559473,8086,36,12,NM_015665.3
cg00560119,6812,36,9,NM_003165.1
cg00563229,55113,36,1,NM_018053.2
cg00563845,54899,36,3,NM_017771.2
cg00563926,7049,36,1,NM_003243.2
cg00563932,5730,36,9,NM_000954.5
cg00564163,79689,36,7,NM_024636.1
cg00565075,51386,36,22,NM_016091.2
cg00565688,7161,36,1,NM_005427.1
cg00566759,1824,36,18,NM_004949.2
cg00567479,9855,36,2,NM_014808.1
cg00567749,1462,36,5,NM_004385.2
cg00568128,55088,36,10,NM_018017.2
cg00568792,3703,36,11,NM_152713.2
cg00569620,55347,36,3,NM_018394.1
cg00571634,54554,36,3,NM_019069.3
cg00572797,864,36,1,NT_004610.18
cg00573606,1293,36,2,NM_004369.2
cg00575744,3109,36,6,NM_002118.3
cg00576250,284747,36,20,NM_173643.1
cg00577167,229,36,9,NM_000035.2
cg00577464,6469,36,7,NM_000193.2
cg00578575,169270,36,8,NM_173539.1
cg00579393,5968,36,2,NM_006507.2
cg00579402,2528,36,19,NM_000150.1
cg00581156,27292,36,5,NM_014473.2
cg00581764,,,,
cg00582372,795,36,X,NM_004057.1
cg00582628,8601,36,8,NM_003702.2
cg00584022,3845,36,12,NM_004985.3
cg00585790,3987,36,2,NM_004987.3
cg00585846,4795,36,6,NM_005007.2
cg00586909,54901,36,6,NM_017774.1
cg00587613,390212,36,11,NM_206997.1
cg00592315,90050,36,14,NM_138344.2
cg00594118,25920,36,9,NM_015456.2
cg00594952,9783,36,1,NM_014747.2
cg00596686,412,36,X,NM_000351.3
cg00597076,4641,36,17,NM_033375.3
cg00598858,5589,36,19,NM_002743.2
cg00600110,171482,36,X,NM_174951.2
cg00600684,55717,36,10,NM_018117.10
cg00601486,341567,36,12,NM_181788.1
cg00602891,79415,36,17,NM_001033046.1
cg00603172,666,36,2,NM_032515.3
cg00605270,27293,36,1,NM_014474.2
cg00609097,10420,36,1,NM_007170.1
cg00611397,26164,36,20,NM_015666.2
cg00612467,3033,36,4,NM_005327.1
cg00613255,3630,36,11,NM_000207.1
cg00613344,79802,36,1,NM_024746.2
cg00614413,5802,36,19,NM_002850.2
cg00615241,5657,36,19,NM_002777.3
cg00615377,23543,36,22,NM_001031695.1
cg00615915,5271,36,18,NM_198833.1
cg00616129,55359,36,12,NM_018423.1
cg00616135,114294,36,15,NM_032857.2
cg00616369,4691,36,2,NM_005381.2
cg00617305,149345,36,1,NM_198149.1
cg00618396,7411,36,X,NM_003372.4
cg00619207,79961,36,1,NM_024901.3
cg00620024,5537,36,9,NM_002721.3
cg00620223,1063,36,1,NM_016343.3
cg00620629,221302,36,6,NM_145062.1
cg00620857,122970,36,14,NM_152331.2
cg00622552,161753,36,15,NM_175881.2
cg00622677,10098,36,4,NM_005723.2
cg00623593,1793,36,10,NM_001380.2
cg00625425,163782,36,1,NM_181712.2
cg00625653,7476,36,3,NM_004625.3
cg00626119,4914,36,1,NM_001007792.1
cg00626466,2799,36,12,NM_002076.2
cg00627233,130120,36,2,NM_001008387.1
cg00627286,7358,36,4,NM_003359.2
cg00629217,84708,36,4,NM_032622.1
cg00629585,8328,36,9,NM_004188.2
cg00630164,9132,36,1,NM_004700.2
cg00630249,284613,36,1,NM_182580.1
cg00630583,5426,36,12,NM_006231.2
