X1,CpG,Chromosome,Map Info,Gene Symbol,Entrez ID,Weight,Univariate Age Correlation,Horvath Overlap,Hannum Overlap,PRC
183.0,cg14223995,4.0,141709249.0,UCP1,7350.0,-6.409663736,0.171965801,No,No,1.0
207.0,cg22511262,11.0,32411768.0,WT1,7490.0,5.567558371,0.191270122,No,No,1.0
219.0,cg13700897,8.0,109165240.0,RSPO2,340419.0,-5.203206279,-0.05345294,No,No,1.0
226.0,cg20550118,15.0,76420717.0,CRABP1,1381.0,-4.852301857,0.163876131,No,No,1.0
266.0,cg05089968,6.0,166642763.0,MGC35308,285800.0,-3.91160807,-0.056944706,No,No,1.0
283.0,cg15903282,3.0,135996380.0,EPHB1,2047.0,-3.473480174,-0.030948807,No,No,1.0
293.0,cg19883905,18.0,12244024.0,CIDEA,1149.0,-3.218932622,0.085999072,No,No,1.0
297.0,cg21006686,12.0,116284623.0,NOS1,4842.0,3.152813941,-0.001475692,No,No,1.0
314.0,cg08586737,7.0,127013185.0,GCC1,79571.0,2.696221083,0.235218334,No,No,1.0
318.0,cg26711820,12.0,79625820.0,MYF6,4618.0,2.558421247,0.14580488,No,No,1.0
321.0,cg21907579,12.0,113330251.0,TBX5,6910.0,2.497611714,0.390945005,No,No,1.0
323.0,cg08694544,19.0,12807228.0,RTBDN,83546.0,2.481527201,0.424518386,No,No,1.0
326.0,cg19297232,16.0,67040522.0,SMPD3,55512.0,-2.403650899,0.05340576,No,No,1.0
328.0,cg20652640,16.0,87047557.0,ZFPM1,161882.0,-2.37602848,-0.1047532,No,No,1.0
339.0,cg26898166,2.0,72997307.0,EMX1,2016.0,-2.24450608,-0.024435623,No,No,1.0
341.0,cg12145907,5.0,140845018.0,PCDHGC4,56098.0,2.227238015,0.354074846,No,No,1.0
344.0,cg20828084,15.0,78857906.0,KIAA1199,57214.0,2.193830696,0.09326033,Yes,No,1.0
348.0,cg16612562,22.0,28042045.0,RRP22,10633.0,2.080897193,0.297450673,No,No,1.0
355.0,cg08654655,1.0,157407687.0,IGSF4B,57863.0,1.973711223,0.220998322,No,No,1.0
362.0,cg19632206,1.0,188713379.0,FAM5C,339479.0,1.89091587,0.0198233,No,No,1.0
372.0,cg00582628,8.0,54927068.0,RGS20,8601.0,-1.678163605,-0.433036931,No,No,1.0
376.0,cg01946401,6.0,45404079.0,RUNX2,860.0,-1.552392375,-0.353846707,No,No,1.0
380.0,cg12188560,9.0,34581192.0,CNTFR,1271.0,-1.546553159,-0.032582362,No,No,1.0
384.0,cg22179082,13.0,26232259.0,GPR12,2835.0,-1.509071514,0.197749027,No,No,1.0
385.0,cg15201877,1.0,71285561.0,PTGER3,5733.0,1.467052004,0.4883572,No,No,1.0
401.0,cg06295856,11.0,14950218.0,CALCA,796.0,1.251326977,0.288064211,No,No,1.0
441.0,cg18809289,10.0,45189822.0,ALOX5,240.0,0.653578992,0.381666867,No,No,1.0
457.0,cg09404633,1.0,200182069.0,LMOD1,25802.0,-0.481760063,-0.031890989,No,No,1.0
464.0,cg12991365,3.0,53855893.0,CHDH,55349.0,-0.399519083,0.092019302,No,No,1.0
468.0,cg24505122,12.0,1596553.0,WNT5B,81029.0,0.307545432,-0.11785877,No,No,1.0
482.0,cg05501584,15.0,90737310.0,ST8SIA2,8128.0,-0.164581823,0.019411021,No,No,1.0
498.0,cg21053529,15.0,32834052.0,CX36,57369.0,-0.052460218,0.223772354,No,No,1.0
502.0,cg13843773,4.0,81475835.0,MGC35043,255119.0,0.043585555,0.065113852,No,No,1.0
506.0,cg00083937,22.0,49386671.0,MAPK8IP2,23542.0,0.030577331,0.176660699,No,No,1.0
508.0,cg17923358,7.0,103416854.0,RELN,5649.0,0.024808297,0.258794314,No,No,1.0
512.0,cg00503840,7.0,96488445.0,DLX5,1749.0,0.002679625,0.549714349,No,No,1.0
